url,in_degree,out_degree,total_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,weak_component_id,weak_component_size,in_largest_component
https://prz.edu.pl/studenci_menu/swiadczenia-dla-studentow/stypendium-marszalka-wojewodztwa-podkarpackiego-dla-studentow-pierwszego-roku,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/studenci_menu/swiadczenia-dla-studentow/stypendium-ministra,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/studenci_menu/swiadczenia-dla-studentow/stypendium-rektora,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/studenci_menu/swiadczenia-dla-studentow/stypendium-socjalne--stypendium-dla-osob-niepelnosprawnych-i-zapomoga/stypendium-socjalne-stypendium-dla-osob-niepelnosprawnych-i-zapomoga-rok-akad-2025-26,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/studenci_menu/swiadczenia-dla-studentow/stypendium-z-wlasnego-funduszu,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
"https://prz.edu.pl/uczelnia/aktualnosci/filtr,kultura,9.html",25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
"https://prz.edu.pl/uczelnia/aktualnosci/filtr,nauka,4.html",25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
"https://prz.edu.pl/uczelnia/aktualnosci/filtr,odeszli-od-nas,10.html",25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
"https://prz.edu.pl/uczelnia/aktualnosci/filtr,sport,8.html",25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
"https://prz.edu.pl/uczelnia/aktualnosci/filtr,wspolpraca-miedzynarodowa,5.html",25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
"https://prz.edu.pl/uczelnia/aktualnosci/filtr,wspolpraca-z-gospodarka,6.html",25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
"https://prz.edu.pl/uczelnia/aktualnosci/filtr,z-zycia-studentow,3.html",25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/aktualnosci/konferencje-i-seminaria,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/biuro-ds-wartosci-akademickich,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/komisja-pojednawcza,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/mediatorzy,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/ochrona-maloletnich,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/plan-rownosci-plci,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/przeciwdzialanie-mobbingowi,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/rzecznik-praw-studentow,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/wsparcie-psychologiczne,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dobre-praktyki/zasady-etyki,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/dzialania-na-rzecz-poprawy-zapewniania-dostepnosci/informacja-o-zakresie-dzialalnosci-politechniki-rzeszowskiej,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/informacje/doktoraty-honoris-causa,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
https://prz.edu.pl/uczelnia/informacje/historia-prz/patron-prz,25,0,25,0.06112469,0.00000000,0.00000000,0.00273879,1,401,True
